date,hPa_one,hPa_two,hPa_three
1756-01-01,1003.0,,
1756-01-02,1009.8,,
1756-01-03,1012.3,,1013.0
1756-01-04,,,
1756-01-05,1007.8,,1007.3
1756-01-06,1012.9,,
1756-01-07,1004.5,,
1756-01-08,1001.0,,
1756-01-09,1007.9,,
1756-01-10,1003.2,,
1756-01-11,997.6,,1006.0
1756-01-12,1001.8,,998.6
1756-01-13,999.3,,
1756-01-14,983.3,,983.4
1756-01-15,983.2,,986.9
1756-01-16,991.5,,998.5
1756-01-17,1000.4,,1000.1
1756-01-18,1001.2,,1004.0
1756-01-19,1005.8,,997.2
1756-01-20,985.7,,984.4
1756-01-21,977.8,,981.4
1756-01-22,999.5,,1002.4
1756-01-23,1004.5,,998.2
1756-01-24,,,990.0
1756-01-25,990.7,,
1756-01-26,995.1,,996.7
1756-01-27,1013.5,,1020.7
1756-01-28,1023.6,,
1756-01-29,1022.2,,1022.5
1756-01-30,1026.0,,1026.7
1756-01-31,1024.1,,1018.4
1756-02-01,1017.8,,1021.6
1756-02-02,1031.0,,1038.3
1756-02-03,1038.5,,1039.3
1756-02-04,1038.2,,1036.2
1756-02-05,1032.6,,1030.1
1756-02-06,1028.1,,1025.6
1756-02-07,1020.3,,1019.8
1756-02-08,1021.7,,1023.0
1756-02-09,1020.6,,1020.1
1756-02-10,1018.5,,1016.1
1756-02-11,1014.0,,
1756-02-12,1013.8,,1008.9
1756-02-13,993.1,,989.1
1756-02-14,1004.9,,
1756-02-15,991.5,,1000.8
1756-02-16,982.7,,978.3
1756-02-17,975.9,,979.9
1756-02-18,981.6,,987.7
1756-02-19,989.7,,993.8
1756-02-20,1011.4,,1001.9
1756-02-21,999.3,,1000.4
1756-02-22,1004.6,,1004.5
1756-02-23,1007.2,,1017.0
1756-02-24,1015.5,,1016.0
1756-02-25,1016.6,,1013.0
1756-02-26,1012.0,,1016.4
1756-02-27,1006.0,,1008.1
1756-02-28,1013.4,,
1756-02-29,1008.1,,
1756-03-01,1018.4,,1020.4
1756-03-02,1020.9,,
1756-03-03,1018.4,,1007.3
1756-03-04,1002.8,,
1756-03-05,1008.4,,1009.6
1756-03-06,1007.8,,
1756-03-07,1009.7,,1011.6
1756-03-08,1007.5,,1001.3
1756-03-09,998.8,,
1756-03-10,998.5,,
1756-03-11,1010.7,,1017.2
1756-03-12,1020.1,,1019.7
